name,link,severity,package,version,fixedBy
CVE-2023-2953,https://avd.aquasec.com/nvd/cve-2023-2953,HIGH,libldap-common,2.4.47+dfsg-3+deb10u6,
CVE-2022-1271,https://avd.aquasec.com/nvd/cve-2022-1271,HIGH,liblzma5,5.2.4-1,5.2.4-1+deb10u1
CVE-2021-39537,https://avd.aquasec.com/nvd/cve-2021-39537,HIGH,libncursesw6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2022-29458,https://avd.aquasec.com/nvd/cve-2022-29458,HIGH,libncursesw6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u3
CVE-2023-29491,https://avd.aquasec.com/nvd/cve-2023-29491,HIGH,libncursesw6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2020-11080,https://avd.aquasec.com/nvd/cve-2020-11080,HIGH,libnghttp2-14,1.36.0-2+deb10u1,1.36.0-2+deb10u2
CVE-2023-44487,https://avd.aquasec.com/nvd/cve-2023-44487,HIGH,libnghttp2-14,1.36.0-2+deb10u1,1.36.0-2+deb10u2
CVE-2022-24407,https://avd.aquasec.com/nvd/cve-2022-24407,HIGH,libsasl2-2,2.1.27+dfsg-1+deb10u1,2.1.27+dfsg-1+deb10u2
CVE-2022-24407,https://avd.aquasec.com/nvd/cve-2022-24407,HIGH,libsasl2-modules-db,2.1.27+dfsg-1+deb10u1,2.1.27+dfsg-1+deb10u2
CVE-2022-1304,https://avd.aquasec.com/nvd/cve-2022-1304,HIGH,libss2,1.44.5-1+deb10u3,
CVE-2019-13115,https://avd.aquasec.com/nvd/cve-2019-13115,HIGH,libssh2-1,1.8.0-2.1,1.8.0-2.1+deb10u1
CVE-2019-17498,https://avd.aquasec.com/nvd/cve-2019-17498,HIGH,libssh2-1,1.8.0-2.1,1.8.0-2.1+deb10u1
CVE-2020-22218,https://avd.aquasec.com/nvd/cve-2020-22218,HIGH,libssh2-1,1.8.0-2.1,1.8.0-2.1+deb10u1
CVE-2022-0778,https://avd.aquasec.com/nvd/cve-2022-0778,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1d-0+deb10u8
CVE-2022-1292,https://avd.aquasec.com/nvd/cve-2022-1292,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u2
CVE-2022-2068,https://avd.aquasec.com/nvd/cve-2022-2068,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u3
CVE-2022-4450,https://avd.aquasec.com/nvd/cve-2022-4450,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0215,https://avd.aquasec.com/nvd/cve-2023-0215,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0286,https://avd.aquasec.com/nvd/cve-2023-0286,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0464,https://avd.aquasec.com/nvd/cve-2023-0464,HIGH,libssl1.1,1.1.1d-0+deb10u7,1.1.1n-0+deb10u5
CVE-2018-12886,https://avd.aquasec.com/nvd/cve-2018-12886,HIGH,libstdc++6,8.3.0-6,
CVE-2019-15847,https://avd.aquasec.com/nvd/cve-2019-15847,HIGH,libstdc++6,8.3.0-6,
CVE-2019-3843,https://avd.aquasec.com/nvd/cve-2019-3843,HIGH,libsystemd0,241-7~deb10u8,
CVE-2019-3844,https://avd.aquasec.com/nvd/cve-2019-3844,HIGH,libsystemd0,241-7~deb10u8,
CVE-2023-26604,https://avd.aquasec.com/nvd/cve-2023-26604,HIGH,libsystemd0,241-7~deb10u8,241-7~deb10u9
